q_delay,q_depth,sending_rate,data_sent,interarrival_time,CCA
0.39486,32,49.500253421186,0.09766399999999997,0.001973,cubic
0.375212,31,1.0666041825317791,0.036416000000000004,0.034142,cubic
0.375267,31,1.804300756339921,0.06083200000000044,0.033715,cubic
0.38343,31,2.453991689862421,0.06083199999999955,0.024789,cubic
0.41951,34,6.490589135424672,0.08483200000000046,0.01307,cubic
0.399976,33,2.059896205303992,0.04326399999999975,0.021003,cubic
0.364015,30,1.3832057777299125,0.012832000000000399,0.047854,cubic
0.311648,25,0.9903565821933114,0.013247999999999927,0.064405,cubic
0.267661,22,0.37535522099280433,0.012415999999999983,0.056017,cubic
0.212178,17,2.9757412398921668,0.013247999999999927,0.067524,cubic
0.176168,14,0.4356491228070169,0.012415999999999983,0.048067,cubic
0.132055,10,47.48387096774167,0.013247999999999927,0.056168,cubic
0.096374,7,1.060652656757217,0.012415999999999983,0.047794,cubic
0.060297,4,0.261015808947191,0.012415999999999983,0.04809,cubic
0.024357,2,0.25035466911456994,0.011999999999999567,0.047932,cubic
0.000518,0,0.19980352653225086,0.012000000000000455,0.060059,cubic
0.000555,0,0.24752985828914717,0.011999999999999567,0.048479,cubic
0.000599,0,0.23329056339671944,0.012000000000000455,0.051438,cubic
0.000466,0,0.1747767954674488,0.011999999999999567,0.068659,cubic
0.000654,0,0.22958597994949978,0.012000000000000455,0.052268,cubic
0.000343,0,0.23399567108007654,0.011999999999999567,0.051283,cubic
0.000751,0,0.29832193909261545,0.012000000000000455,0.040225,cubic
0.000572,0,0.21109293366403797,0.011999999999999567,0.056847,cubic
0.000469,0,0.2562624127106254,0.012000000000000455,0.046827,cubic
0.000386,0,0.2146882547633879,0.011999999999999567,0.055895,cubic
0.000433,0,0.21449254638402127,0.012000000000000455,0.055946,cubic
0.000499,0,0.21308709935185238,0.011999999999999567,0.056315,cubic
0.000541,0,0.22833222338503387,0.012000000000000455,0.052555,cubic
0.208927,17,35.01164929491112,0.22841600000000017,0.006524,cubic
0.273396,22,64.77495569994066,0.10966399999999954,0.001693,cubic
0.334014,27,70.1176470588238,0.10966400000000043,0.001564,cubic
0.358239,29,48.43129520052594,0.07366399999999995,0.001521,cubic
0.369439,30,4.276199120296025,0.06124799999999997,0.014323,cubic
0.366746,30,3.356618661369506,0.06083199999999955,0.018123,cubic
0.402966,33,4.686333001878271,0.08483200000000046,0.018102,cubic
0.414895,34,9.57984251968497,0.06083199999999955,0.00635,cubic
0.451648,37,15.415591495547966,0.08483200000000046,0.005503,cubic
0.447317,37,1.6757627352629885,0.036416000000000004,0.021731,cubic
0.451628,37,3.463645163127003,0.06083199999999955,0.017563,cubic
0.44775,37,2.8223067644056994,0.06083200000000044,0.021554,cubic
0.47214,39,3.5536472310319596,0.07283200000000001,0.020495,cubic
0.484723,40,9.995075624340485,0.08524799999999999,0.008529,cubic
0.505102,41,6.994722955145083,0.08483199999999957,0.012128,cubic
0.468878,38,1.5120879120878905,0.019263999999999726,0.048383,cubic
0.437302,36,1.5460240963855902,0.012832000000000399,0.04361,cubic
0.401305,33,0.6161480819810423,0.012415999999999983,0.048044,cubic
0.352254,29,0.6179034044397553,0.012832000000000399,0.0611,cubic
0.301111,24,0.5376911795516242,0.01283199999999951,0.063193,cubic
0.241303,20,0.3604798157148187,0.012832000000000399,0.071863,cubic
0.205383,17,1.17875255805676,0.013247999999999927,0.048051,cubic
0.165342,13,4.190725016329036,0.01283199999999951,0.052032,cubic
0.125366,10,1.890116364707674,0.012832000000000399,0.052031,cubic
0.09338,7,0.46257590998844983,0.012415999999999983,0.044024,cubic
0.045784,3,0.20090406830737598,0.011999999999999567,0.05973,cubic
0.000538,0,0.15763753875256759,0.012000000000000455,0.076124,cubic
0.000424,0,0.21425128104411015,0.011999999999999567,0.056009,cubic
0.000346,0,0.23035724569520769,0.012000000000000455,0.052093,cubic
0.000449,0,0.2499583402766115,0.011999999999999567,0.048008,cubic
0.00034,0,0.3010008277522877,0.012000000000000455,0.039867,cubic
0.000611,0,0.2488129548611741,0.011999999999999567,0.048229,cubic
0.00042,0,0.273947584695472,0.012000000000000455,0.043804,cubic
0.000391,0,0.250731299623894,0.011999999999999567,0.04786,cubic
0.000364,0,0.21399529210358184,0.012000000000000455,0.056076,cubic
0.000466,0,0.18695083193119535,0.011999999999999567,0.064188,cubic
0.000378,0,0.23052540582077524,0.012000000000000455,0.052055,cubic
0.000427,0,0.19937860335287633,0.011999999999999567,0.060187,cubic
0.000268,0,0.3022822308428751,0.012000000000000455,0.039698,cubic
